	10000	5000	3000	2000	1500	1000	750	500	400	300	200	100	50	10
45	1	0.968	0.86973	0.76092	0.68814	0.606	0.564	0.497	0.451	0.391	0.312	0.202	0.11522	0.02678
46	1	0.96559	0.87134	0.76102	0.69018	0.608	0.566	0.493	0.444	0.382	0.3	0.189	0.10607	0.02354
47	1	0.96006	0.86393	0.75853	0.69002	0.608	0.565	0.486	0.436	0.374	0.294	0.188	0.10655	0.02618
48	1	0.96505	0.87115	0.768	0.69754	0.608	0.563	0.478	0.429	0.367	0.291	0.19	0.11145	0.0299
49	1	0.97142	0.88222	0.77939	0.70577	0.607	0.559	0.47	0.422	0.362	0.289	0.193	0.1178	0.03636
50	1	0.97169	0.88535	0.78195	0.7078	0.606	0.554	0.464	0.416	0.359	0.29	0.199	0.12662	0.04455
51	1	0.97329	0.889	0.78808	0.70934	0.604	0.548	0.458	0.412	0.357	0.292	0.204	0.13509	0.05294
52	1	0.97574	0.89806	0.79273	0.70917	0.602	0.542	0.454	0.41	0.357	0.295	0.207	0.1401	0.05652
53	1	0.97709	0.89739	0.78912	0.70521	0.598	0.537	0.451	0.408	0.358	0.298	0.208	0.14219	0.05748
54	1	0.97752	0.89804	0.789	0.7028	0.593	0.532	0.449	0.408	0.36	0.301	0.207	0.13968	0.05199
55	1	0.97727	0.89626	0.78242	0.69643	0.588	0.527	0.446	0.406	0.36	0.302	0.207	0.14065	0.05121
56	1	0.97571	0.8927	0.7776	0.69108	0.583	0.523	0.445	0.406	0.362	0.304	0.21	0.1424	0.0514
57	1	0.97358	0.89088	0.77612	0.68795	0.579	0.52	0.444	0.407	0.364	0.306	0.211	0.13997	0.04894
58	1	0.97099	0.88477	0.76756	0.67924	0.571	0.511	0.434	0.396	0.352	0.292	0.199	0.13185	0.04492
59	1	0.96919	0.87899	0.76175	0.67191	0.564	0.504	0.428	0.391	0.346	0.286	0.193	0.12593	0.04172
60	1	0.96732	0.87449	0.75383	0.66517	0.558	0.498	0.422	0.385	0.34	0.28	0.188	0.12114	0.03897
61	1	0.96499	0.86941	0.7469	0.65762	0.551	0.491	0.416	0.379	0.334	0.274	0.183	0.11783	0.03711
62	1	0.96208	0.86265	0.74027	0.65011	0.544	0.484	0.409	0.373	0.328	0.267	0.178	0.11397	0.03597
63	1	0.95874	0.85551	0.73221	0.64274	0.537	0.477	0.403	0.366	0.321	0.261	0.173	0.10941	0.03503
64	1	0.95487	0.84788	0.72321	0.63448	0.532	0.473	0.401	0.365	0.321	0.261	0.175	0.11088	0.03533
65	1	0.9508	0.83993	0.71231	0.62435	0.523	0.464	0.39	0.353	0.309	0.249	0.165	0.1067	0.03246
66	1	0.94598	0.83001	0.70207	0.61577	0.515	0.457	0.384	0.347	0.302	0.244	0.16	0.10184	0.03089
67	1	0.94048	0.82181	0.69457	0.60723	0.508	0.45	0.377	0.341	0.296	0.238	0.156	0.09785	0.02948
68	1	0.93691	0.81399	0.68463	0.59875	0.501	0.443	0.371	0.334	0.29	0.232	0.152	0.09514	0.02879
69	1	0.93412	0.80895	0.67829	0.5921	0.494	0.435	0.364	0.328	0.284	0.227	0.149	0.09283	0.02842
70	1	0.93323	0.80466	0.67292	0.58557	0.487	0.429	0.358	0.322	0.278	0.222	0.145	0.0911	0.02754
71	1	0.92726	0.79882	0.66667	0.57913	0.482	0.425	0.356	0.321	0.278	0.222	0.147	0.09155	0.0279
72	1	0.92536	0.79426	0.66046	0.57338	0.478	0.423	0.355	0.32	0.278	0.223	0.149	0.09328	0.02968
73	1	0.92179	0.78584	0.65457	0.56831	0.474	0.421	0.354	0.32	0.278	0.223	0.149	0.09352	0.0282
